strategy,care_shift_category,care_shift_name
discharged_no_treatment_adult_ambulance,a_e,A&E
discharged_no_treatment_adult_walk-in,a_e,A&E
discharged_no_treatment_child_ambulance,a_e,A&E
discharged_no_treatment_child_walk-in,a_e,A&E
frequent_attenders_adult_ambulance,a_e,A&E
frequent_attenders_adult_walk-in,a_e,A&E
frequent_attenders_child_ambulance,a_e,A&E
frequent_attenders_child_walk-in,a_e,A&E
left_before_seen_adult_ambulance,a_e,A&E
left_before_seen_adult_walk-in,a_e,A&E
left_before_seen_child_ambulance,a_e,A&E
left_before_seen_child_walk-in,a_e,A&E
low_cost_discharged_adult_ambulance,a_e,A&E
low_cost_discharged_adult_walk-in,a_e,A&E
low_cost_discharged_child_ambulance,a_e,A&E
low_cost_discharged_child_walk-in,a_e,A&E
alcohol_partially_attributable_acute,public_health,Public Health
alcohol_partially_attributable_chronic,public_health,Public Health
alcohol_wholly_attributable,public_health,Public Health
ambulatory_care_conditions_acute,acsc_and_inpatient_avoidance,ACSC and Inpatient Avoidance
ambulatory_care_conditions_chronic,acsc_and_inpatient_avoidance,ACSC and Inpatient Avoidance
ambulatory_care_conditions_vaccine_preventable,acsc_and_inpatient_avoidance,ACSC and Inpatient Avoidance
cancelled_operations,other,Other
eol_care_2_days,frailty_and_older_people,Frailty and older people
eol_care_3_to_14_days,frailty_and_older_people,Frailty and older people
evidence_based_interventions_ent,other,Other
evidence_based_interventions_general_surgery,other,Other
evidence_based_interventions_gi_surgical,other,Other
evidence_based_interventions_msk,other,Other
evidence_based_interventions_urology,other,Other
evidence_based_interventions_vascular_varicose_veins,other,Other
falls_related_admissions,frailty_and_older_people,Frailty and older people
frail_elderly_high,frailty_and_older_people,Frailty and older people
frail_elderly_intermediate,frailty_and_older_people,Frailty and older people
intentional_self_harm,public_health,Public Health
medically_unexplained_related_admissions,public_health,Public Health
medicines_related_admissions_explicit,medicine_related_admissions,Medicine Related Admissions
medicines_related_admissions_implicit_anti-diabetics,medicine_related_admissions,Medicine Related Admissions
medicines_related_admissions_implicit_benzodiasepines,medicine_related_admissions,Medicine Related Admissions
medicines_related_admissions_implicit_diurectics,medicine_related_admissions,Medicine Related Admissions
medicines_related_admissions_implicit_nsaids,medicine_related_admissions,Medicine Related Admissions
obesity_related_admissions,public_health,Public Health
raid_ae,public_health,Public Health
readmission_within_28_days,acsc_and_inpatient_avoidance,ACSC and Inpatient Avoidance
smoking,public_health,Public Health
virtual_wards_activity_avoidance_ari,virtual_wards,Virtual Wards
virtual_wards_activity_avoidance_heart_failure,virtual_wards,Virtual Wards
zero_los_no_procedure_adult,acsc_and_inpatient_avoidance,ACSC and Inpatient Avoidance
zero_los_no_procedure_child,acsc_and_inpatient_avoidance,ACSC and Inpatient Avoidance
day_procedures_occasionally_dc,frailty_and_older_people,Frailty and older people
day_procedures_occasionally_op,other,Other
day_procedures_usually_dc,other,Other
day_procedures_usually_op,other,Other
emergency_elderly,other,Other
enhanced_recovery_bladder,other,Other
enhanced_recovery_breast,other,Other
enhanced_recovery_colectomy,other,Other
enhanced_recovery_hip,other,Other
enhanced_recovery_hysterectomy,other,Other
enhanced_recovery_knee,other,Other
enhanced_recovery_prostate,other,Other
enhanced_recovery_rectum,other,Other
excess_beddays_elective,other,Other
excess_beddays_emergency,other,Other
general_los_reduction_elective,public_health,Public Health
general_los_reduction_emergency,frailty_and_older_people,Frailty and older people
pre-op_los_1-day,virtual_wards,Virtual Wards
pre-op_los_2-day,virtual_wards,Virtual Wards
raid_ip,other,Other
stroke_early_supported_discharge,other,Other
virtual_wards_efficiencies_ari,other,Other
virtual_wards_efficiencies_heart_failure,other,Other
same_day_emergency_care_low,other,Other
same_day_emergency_care_moderate,other,Other
same_day_emergency_care_high,other,Other
same_day_emergency_care_very_high,other,Other
consultant_to_consultant_reduction_adult_non-surgical,outpatients,Outpatients
consultant_to_consultant_reduction_adult_surgical,outpatients,Outpatients
consultant_to_consultant_reduction_child_non-surgical,outpatients,Outpatients
consultant_to_consultant_reduction_child_surgical,outpatients,Outpatients
followup_reduction_adult_non-surgical,outpatients,Outpatients
followup_reduction_adult_surgical,outpatients,Outpatients
followup_reduction_child_non-surgical,outpatients,Outpatients
followup_reduction_child_surgical,outpatients,Outpatients
gp_referred_first_attendance_reduction_adult_non-surgical,other,Other
gp_referred_first_attendance_reduction_adult_surgical,other,Other
gp_referred_first_attendance_reduction_child_non-surgical,other,Other
gp_referred_first_attendance_reduction_child_surgical,other,Other
convert_to_tele_adult_non-surgical,other,Other
convert_to_tele_adult_surgical,other,Other
convert_to_tele_child_non-surgical,other,Other
convert_to_tele_child_surgical,other,Other
